domain,success,pagination__page_count,pagination__current_page,pagination__has_next_page,pagination__has_prev_page,pagination__count,pagination__limit
baltcredit.pl,True,1,1,False,False,5,10
novalend.pl,True,1,1,False,False,2,10
pozyczkihipoteczne.eu,True,1,1,False,False,1,10
yanokhipoteczny.pl,True,1,1,False,False,2,10
capitalaccess.pl,True,1,1,False,False,5,10
businessfunds.pl,True,1,1,False,False,1,10
forsel.pl,True,1,1,False,False,5,10
profikredyt.com.pl,True,0,1,False,False,0,10
topf.pl,True,1,1,False,False,3,10
trendcapital.pl,True,1,1,False,False,3,10
janvest.pl,True,1,1,False,False,5,10
e-bilans.info,True,0,1,False,False,0,10
funduszkorona.pl,True,1,1,False,False,2,10
ibipolska.pl,True,1,1,False,False,1,10
tadam-finanse.pl,True,1,1,False,False,2,10
actius.pl,True,1,1,False,False,3,10
alphacredit.pl,True,1,1,False,False,2,10
credithub.pl,True,1,1,False,False,3,10
pod-zastaw.org,True,1,1,False,False,1,10
pozyczka-pod-zastaw.com,True,0,1,False,False,0,10
cpf-pozyczki.pl,True,0,1,False,False,0,10
bankowybroker.pl,True,0,1,False,False,0,10
mldomfinansowy.pl,True,1,1,False,False,4,10
moneyrun.pl,True,1,1,False,False,1,10
khfinanse.com,True,0,1,False,False,0,10
bankierkredyty.eu,True,1,1,False,False,3,10
smeo.pl,True,1,1,False,False,10,10
finea.pl,True,1,1,False,False,7,10
pragmago.pl,True,1,1,False,False,10,10
wealthon.com,True,1,1,False,False,6,10
bizlend.pl,True,1,1,False,False,1,10
pl.finbee.com,True,0,1,False,False,0,10
bankujesz.pl,True,1,1,False,False,2,10
czerwona-skarbonka.pl,True,2,1,True,False,18,10
comperia.pl,True,2,1,True,False,16,10
loando.pl,True,1,1,False,False,9,10
bankier.pl,True,11,1,True,False,102,10
totalmoney.pl,True,3,1,True,False,27,10
wnioskomat.com,True,1,1,False,False,6,10
money.pl,True,11,1,True,False,103,10
odpowiedzialnybiznes.pl,True,3,1,True,False,28,10
kontomaniak.pl,True,1,1,False,False,9,10
lendi.pl,True,1,1,False,False,9,10
expander.pl,True,2,1,True,False,20,10
rankomat.pl,True,4,1,True,False,33,10
moneteo.com,True,1,1,False,False,4,10
mfinanse.pl,True,1,1,False,False,8,10
rekinfinansow.pl,True,1,1,False,False,9,10
helikon.net.pl,True,1,1,False,False,3,10
feniksfinanse.pl,True,1,1,False,False,2,10
bancovo.pl,True,1,1,False,False,8,10
fintek.pl,True,3,1,True,False,26,10
confronter.pl,True,1,1,False,False,7,10
credipass.pl,True,1,1,False,False,5,10
grupasg.pl,True,0,1,False,False,0,10
kredytomat.pl,True,1,1,False,False,4,10
platinum-financial.pl,True,1,1,False,False,4,10
monevia.pl,True,1,1,False,False,9,10
dginwest.com.pl,True,1,1,False,False,6,10
brsonline.pl,True,1,1,False,False,2,10
hiponet.pl,True,1,1,False,False,4,10
strefabiznesu.pl,True,3,1,True,False,28,10
poradnikprzedsiebiorcy.pl,True,4,1,True,False,40,10
fines.pl,True,1,1,False,False,5,10
businessinsider.com.pl,True,10,1,True,False,91,10
janosikdlafirm.pl,True,1,1,False,False,2,10
horyzontcapital.com,True,0,1,False,False,0,10
# === RUNDA 1.5 - NOWE DOMENY ===,True,0,1,False,False,0,10
podzastaw.biz,True,1,1,False,False,6,10
smartvest.pl,True,1,1,False,False,6,10
inwestum.com.pl,True,1,1,False,False,4,10
habzafinanse.com.pl,True,1,1,False,False,9,10
newpoint-finance.pl,True,1,1,False,False,2,10
fluxo.com.pl,True,1,1,False,False,1,10
finiata.pl,True,1,1,False,False,6,10
serwaczakowie.pl,True,0,1,False,False,0,10
cbif.pl,True,0,1,False,False,0,10
ftfund.pl,True,1,1,False,False,1,10
ckakrybia.pl,True,1,1,False,False,1,10
firmowefinanse.pl,True,1,1,False,False,3,10
hipotecznapozyczka.com,True,1,1,False,False,1,10
pozyczkipodzastaw.com.pl,True,1,1,False,False,1,10
simplefinance.pl,True,1,1,False,False,2,10
mevior.pl,True,0,1,False,False,0,10
splatapozyczek.pl,True,1,1,False,False,7,10
open.pl,True,2,1,True,False,12,10
kasastefczyka.pl,True,2,1,True,False,18,10
forum-kredytowe.pl,True,1,1,False,False,9,10
blogkredytowy.pl,True,1,1,False,False,8,10
angfinanse.pl,True,1,1,False,False,2,10
akredo.pl,True,1,1,False,False,7,10
finhack.pl,True,1,1,False,False,5,10
bankoweabc.pl,True,1,1,False,False,1,10
helpfind.pl,True,2,1,True,False,11,10
