domain,success,pagination__page_count,pagination__current_page,pagination__has_next_page,pagination__has_prev_page,pagination__count,pagination__limit
baltcredit.pl,True,1,1,False,False,53,100
novalend.pl,True,1,1,False,False,9,100
pozyczkihipoteczne.eu,True,1,1,False,False,27,100
yanokhipoteczny.pl,True,1,1,False,False,2,100
capitalaccess.pl,True,1,1,False,False,8,100
businessfunds.pl,True,1,1,False,False,11,100
forsel.pl,True,0,1,False,False,0,100
profikredyt.com.pl,True,0,1,False,False,0,100
topf.pl,True,1,1,False,False,2,100
krk-partners.pl,True,1,1,False,False,19,100
trendcapital.pl,True,0,1,False,False,0,100
janvest.pl,True,0,1,False,False,0,100
e-bilans.info,True,0,1,False,False,0,100
funduszkorona.pl,True,0,1,False,False,0,100
ibipolska.pl,True,0,1,False,False,0,100
tadam-finanse.pl,True,1,1,False,False,27,100
actius.pl,True,1,1,False,False,8,100
alphacredit.pl,True,1,1,False,False,4,100
credithub.pl,True,1,1,False,False,7,100
pod-zastaw.org,True,1,1,False,False,26,100
pozyczka-pod-zastaw.com,True,1,1,False,False,1,100
cpf-pozyczki.pl,True,1,1,False,False,4,100
bankowybroker.pl,True,1,1,False,False,11,100
mldomfinansowy.pl,True,0,1,False,False,0,100
moneyrun.pl,True,1,1,False,False,1,100
khfinanse.com,True,0,1,False,False,0,100
bankierkredyty.eu,True,1,1,False,False,1,100
smeo.pl,True,1,1,False,False,5,100
finea.pl,True,0,1,False,False,0,100
pragmago.pl,True,1,1,False,False,16,100
wealthon.com,True,1,1,False,False,8,100
bizlend.pl,True,0,1,False,False,0,100
smartney.pl,True,1,1,False,False,9,100
pl.finbee.com,True,0,1,False,False,0,100
bankujesz.pl,True,0,1,False,False,0,100
czerwona-skarbonka.pl,True,1,1,False,False,29,100
comperia.pl,True,1,1,False,False,14,100
loando.pl,True,1,1,False,False,19,100
bankier.pl,True,1,1,False,False,71,100
totalmoney.pl,True,1,1,False,False,49,100
wnioskomat.com,True,1,1,False,False,42,100
money.pl,True,1,1,False,False,44,100
odpowiedzialnybiznes.pl,True,0,1,False,False,0,100
kontomaniak.pl,True,1,1,False,False,11,100
lendi.pl,True,1,1,False,False,44,100
expander.pl,True,1,1,False,False,27,100
rankomat.pl,True,1,1,False,False,45,100
moneteo.com,True,1,1,False,False,9,100
mfinanse.pl,True,1,1,False,False,22,100
rekinfinansow.pl,True,0,1,False,False,0,100
helikon.net.pl,True,0,1,False,False,0,100
feniksfinanse.pl,True,0,1,False,False,0,100
bancovo.pl,True,1,1,False,False,6,100
fintek.pl,True,1,1,False,False,2,100
notus.pl,True,1,1,False,False,39,100
confronter.pl,True,1,1,False,False,1,100
credipass.pl,True,0,1,False,False,0,100
finergia.pl,True,0,1,False,False,0,100
grupasg.pl,True,0,1,False,False,0,100
kredytomat.pl,True,0,1,False,False,0,100
platinum-financial.pl,True,0,1,False,False,0,100
monevia.pl,True,1,1,False,False,1,100
dginwest.com.pl,True,1,1,False,False,2,100
brsonline.pl,True,0,1,False,False,0,100
hiponet.pl,True,1,1,False,False,1,100
strefabiznesu.pl,True,0,1,False,False,0,100
poradnikprzedsiebiorcy.pl,True,1,1,False,False,11,100
fines.pl,True,1,1,False,False,30,100
businessinsider.com.pl,True,1,1,False,False,21,100
janosikdlafirm.pl,True,1,1,False,False,6,100
exfinder.pl,True,0,1,False,False,0,100
horyzontcapital.com,True,1,1,False,False,93,100
podzastaw.biz,True,1,1,False,False,10,100
gotowka-podzastaw.letnet.pl,True,1,1,False,False,20,100
smartvest.pl,True,1,1,False,False,29,100
inwestum.com.pl,True,1,1,False,False,13,100
habzafinanse.com.pl,True,1,1,False,False,15,100
newpoint-finance.pl,True,1,1,False,False,12,100
fluxo.com.pl,True,1,1,False,False,1,100
finiata.pl,True,0,1,False,False,0,100
serwaczakowie.pl,True,1,1,False,False,17,100
cbif.pl,True,1,1,False,False,18,100
ftfund.pl,True,1,1,False,False,9,100
ckakrybia.pl,True,1,1,False,False,8,100
firmowefinanse.pl,True,1,1,False,False,1,100
hipotecznapozyczka.com,True,1,1,False,False,8,100
pozyczkipodzastaw.com.pl,True,1,1,False,False,11,100
simplefinance.pl,True,1,1,False,False,4,100
mevior.pl,True,1,1,False,False,4,100
goldenexpert.pl,True,1,1,False,False,3,100
gawryszewskifinanse.pl,True,1,1,False,False,1,100
splatapozyczek.pl,True,1,1,False,False,13,100
open.pl,True,1,1,False,False,15,100
kasastefczyka.pl,True,1,1,False,False,28,100
forum-kredytowe.pl,True,1,1,False,False,32,100
blogkredytowy.pl,True,1,1,False,False,4,100
angfinanse.pl,True,1,1,False,False,6,100
kokos.pl,True,1,1,False,False,10,100
akredo.pl,True,1,1,False,False,4,100
finhack.pl,True,0,1,False,False,0,100
bankoweabc.pl,True,1,1,False,False,4,100
smart-money.pl,True,1,1,False,False,3,100
helpfind.pl,True,0,1,False,False,0,100
