domain,success
baltcredit.pl,True
novalend.pl,True
pozyczkihipoteczne.eu,True
yanokhipoteczny.pl,True
capitalaccess.pl,True
businessfunds.pl,True
forsel.pl,True
profikredyt.com.pl,True
topf.pl,True
krk-partners.pl,True
trendcapital.pl,True
janvest.pl,True
e-bilans.info,True
funduszkorona.pl,True
ibipolska.pl,True
tadam-finanse.pl,True
actius.pl,True
alphacredit.pl,True
credithub.pl,True
pod-zastaw.org,True
pozyczka-pod-zastaw.com,True
cpf-pozyczki.pl,True
bankowybroker.pl,True
mldomfinansowy.pl,True
moneyrun.pl,True
khfinanse.com,True
bankierkredyty.eu,True
smeo.pl,True
finea.pl,True
pragmago.pl,True
wealthon.com,True
bizlend.pl,True
smartney.pl,True
pl.finbee.com,True
bankujesz.pl,True
czerwona-skarbonka.pl,True
comperia.pl,True
loando.pl,True
bankier.pl,True
totalmoney.pl,True
wnioskomat.com,True
money.pl,True
odpowiedzialnybiznes.pl,True
kontomaniak.pl,True
lendi.pl,True
expander.pl,True
rankomat.pl,True
moneteo.com,True
mfinanse.pl,True
rekinfinansow.pl,True
helikon.net.pl,True
feniksfinanse.pl,True
bancovo.pl,True
fintek.pl,True
notus.pl,True
confronter.pl,True
credipass.pl,True
finergia.pl,True
grupasg.pl,True
kredytomat.pl,True
platinum-financial.pl,True
monevia.pl,True
dginwest.com.pl,True
brsonline.pl,True
hiponet.pl,True
strefabiznesu.pl,True
poradnikprzedsiebiorcy.pl,True
fines.pl,True
businessinsider.com.pl,True
janosikdlafirm.pl,True
exfinder.pl,True
horyzontcapital.com,True
# === RUNDA 1.5 - NOWE DOMENY ===,True
podzastaw.biz,True
gotowka-podzastaw.letnet.pl,True
smartvest.pl,True
inwestum.com.pl,True
habzafinanse.com.pl,True
newpoint-finance.pl,True
fluxo.com.pl,True
finiata.pl,True
serwaczakowie.pl,True
cbif.pl,True
ftfund.pl,True
ckakrybia.pl,True
firmowefinanse.pl,True
hipotecznapozyczka.com,True
pozyczkipodzastaw.com.pl,True
simplefinance.pl,True
mevior.pl,True
goldenexpert.pl,True
gawryszewskifinanse.pl,True
splatapozyczek.pl,True
open.pl,True
kasastefczyka.pl,True
forum-kredytowe.pl,True
blogkredytowy.pl,True
angfinanse.pl,True
kokos.pl,True
akredo.pl,True
finhack.pl,True
bankoweabc.pl,True
smart-money.pl,True
helpfind.pl,True
