domain,_serialize,success,fromCache
baltcredit.pl,True,True,True
novalend.pl,True,True,True
pozyczkihipoteczne.eu,True,True,True
yanokhipoteczny.pl,True,True,True
capitalaccess.pl,True,True,True
businessfunds.pl,True,True,True
forsel.pl,True,True,True
profikredyt.com.pl,True,True,True
topf.pl,True,True,True
krk-partners.pl,True,True,True
trendcapital.pl,True,True,True
janvest.pl,True,True,True
e-bilans.info,True,True,True
funduszkorona.pl,True,True,True
ibipolska.pl,True,True,True
tadam-finanse.pl,True,True,True
actius.pl,True,True,True
alphacredit.pl,True,True,True
credithub.pl,True,True,True
pod-zastaw.org,True,True,True
pozyczka-pod-zastaw.com,True,True,True
cpf-pozyczki.pl,True,True,True
bankowybroker.pl,True,True,True
mldomfinansowy.pl,True,True,True
moneyrun.pl,True,True,True
khfinanse.com,True,True,True
bankierkredyty.eu,True,True,True
smeo.pl,True,True,True
finea.pl,True,True,True
pragmago.pl,True,True,True
wealthon.com,True,True,True
bizlend.pl,True,True,True
smartney.pl,True,True,True
pl.finbee.com,True,True,True
bankujesz.pl,True,True,True
czerwona-skarbonka.pl,True,True,True
comperia.pl,True,True,True
loando.pl,True,True,True
bankier.pl,True,True,True
totalmoney.pl,True,True,True
wnioskomat.com,True,True,True
money.pl,True,True,True
odpowiedzialnybiznes.pl,True,True,True
kontomaniak.pl,True,True,True
lendi.pl,True,True,True
expander.pl,True,True,True
rankomat.pl,True,True,True
moneteo.com,True,True,True
mfinanse.pl,True,True,True
rekinfinansow.pl,True,True,True
helikon.net.pl,True,True,True
feniksfinanse.pl,True,True,True
bancovo.pl,True,True,True
fintek.pl,True,True,True
notus.pl,True,True,True
confronter.pl,True,True,True
credipass.pl,True,True,True
finergia.pl,True,True,True
grupasg.pl,True,True,True
kredytomat.pl,True,True,True
platinum-financial.pl,True,True,True
monevia.pl,True,True,True
dginwest.com.pl,True,True,True
brsonline.pl,True,True,True
hiponet.pl,True,True,True
strefabiznesu.pl,True,True,True
poradnikprzedsiebiorcy.pl,True,True,True
fines.pl,True,True,True
businessinsider.com.pl,True,True,True
janosikdlafirm.pl,True,True,True
exfinder.pl,True,True,True
horyzontcapital.com,True,True,True
# === RUNDA 1.5 - NOWE DOMENY ===,,True,
podzastaw.biz,,True,
gotowka-podzastaw.letnet.pl,,True,
smartvest.pl,,True,
inwestum.com.pl,,True,
habzafinanse.com.pl,,True,
newpoint-finance.pl,,True,
fluxo.com.pl,,True,
finiata.pl,,True,
serwaczakowie.pl,,True,
cbif.pl,,True,
ftfund.pl,,True,
ckakrybia.pl,,True,
firmowefinanse.pl,,True,
hipotecznapozyczka.com,,True,
pozyczkipodzastaw.com.pl,,True,
simplefinance.pl,,True,
mevior.pl,,True,
goldenexpert.pl,,True,
gawryszewskifinanse.pl,,True,
splatapozyczek.pl,,True,
open.pl,,True,
kasastefczyka.pl,,True,
forum-kredytowe.pl,,True,
blogkredytowy.pl,,True,
angfinanse.pl,,True,
kokos.pl,,True,
akredo.pl,,True,
finhack.pl,,True,
bankoweabc.pl,,True,
smart-money.pl,,True,
helpfind.pl,,True,
